Component Name,Component Version
org_playframework_play_3_3_0_1,org.playframework:play_3:3.0.1
org_springframework_webflow_spring_webflow_3_0_0,org.springframework.webflow:spring-webflow:3.0.0
io_ktor_ktor_client_core_2_3_7,io.ktor:ktor-client-core:2.3.7
org_slf4j_slf4j_nop_2_0_11,org.slf4j:slf4j-nop:2.0.11
com_typesafe_akka_akka_slf4j_3_2_8_5,com.typesafe.akka:akka-slf4j_3:2.8.5
org_apache_logging_log4j_log4j_web_2_22_1,org.apache.logging.log4j:log4j-web:2.22.1
com_taoensso_timbre_6_3_1,com.taoensso:timbre:6.3.1
io_github_microutils_kotlin_logging_3_0_5,io.github.microutils:kotlin-logging:3.0.5
ch_qos_reload4j_reload4j_1_2_25,ch.qos.reload4j:reload4j:1.2.25
me_zhyd_oauth_JustAuth_1_16_6,me.zhyd.oauth:JustAuth:1.16.6
org_gwtproject_gwt_user_2_11_0,org.gwtproject:gwt-user:2.11.0
org_pcollections_pcollections_4_0_1,org.pcollections:pcollections:4.0.1
org_slf4j_slf4j_api_2_0_11,org.slf4j:slf4j-api:2.0.11
org_apache_logging_log4j_log4j_core_2_22_1,org.apache.logging.log4j:log4j-core:2.22.1
org_slf4j_slf4j_simple_2_0_11,org.slf4j:slf4j-simple:2.0.11
commons_logging_commons_logging_1_3_0,commons-logging:commons-logging:1.3.0
ch_qos_logback_logback_core_1_4_14,ch.qos.logback:logback-core:1.4.14
org_jboss_logging_jboss_logging_3_5_3_Final,org.jboss.logging:jboss-logging:3.5.3.Final
org_clojure_tools_logging_1_2_4,org.clojure:tools.logging:1.2.4
com_typesafe_scala_logging_scala_logging_3_3_9_5,com.typesafe.scala-logging:scala-logging_3:3.9.5
com_jakewharton_timber_timber_5_0_1,com.jakewharton.timber:timber:5.0.1
org_apache_wicket_wicket_core_10_0_0_M2,org.apache.wicket:wicket-core:10.0.0-M2
net_iharder_base64_2_3_9,net.iharder:base64:2.3.9
org_apache_commons_commons_collections4_4_4,org.apache.commons:commons-collections4:4.4
org_scala_lang_modules_scala_collection_compat_3_2_11_0,org.scala-lang.modules:scala-collection-compat_3:2.11.0
it_unimi_dsi_fastutil_8_5_12,it.unimi.dsi:fastutil:8.5.12
